observation,action
"[-0.7907440066337585, -0.6121469736099243, -0.6497279405593872]",[-7.561523]
"[-0.8318681120872498, -0.5549733638763428, -1.408838152885437]",[-8.896808]
"[-0.8860336542129517, -0.4636209309101105, -2.125068187713623]",[-8.115142]
"[-0.9416024684906006, -0.3367266356945038, -2.7727839946746826]",[-7.102302]
"[-0.9843460917472839, -0.17624644935131073, -3.325328826904297]",[-6.775068]
"[-0.9999427199363708, 0.010703581385314465, -3.7575137615203857]",[-6.4481664]
"[-0.9773634672164917, 0.21156710386276245, -4.04948616027832]",[-5.8501067]
"[-0.9119769930839539, 0.4102412760257721, -4.190810680389404]",[-4.7391434]
"[-0.8069213628768921, 0.5906588435173035, -4.183129787445068]",[-4.219205]
"[-0.6720061302185059, 0.7405455708503723, -4.040135383605957]",[-3.93989]
"[-0.5207063555717468, 0.8537358641624451, -3.78472638130188]",[-3.7913995]
"[-0.36669763922691345, 0.9303401708602905, -3.4444243907928467]",[-3.8826506]
"[-0.22127670049667358, 0.9752110838890076, -3.0466692447662354]",[-4.290548]
"[-0.09222912043333054, 0.9957377910614014, -2.6152610778808594]",[-4.4996066]
"[0.01606181636452675, 0.999871015548706, -2.1684577465057373]",[-4.5513515]
"[0.10181350260972977, 0.9948034882545471, -1.7185544967651367]",[-4.937969]
"[0.16485679149627686, 0.98631751537323, -1.2724518775939941]",[-5.8692]
"[0.20576806366443634, 0.978600800037384, -0.8327136635780334]",[-2.6830747]
"[0.22333064675331116, 0.9747427701950073, -0.35963159799575806]",[-1.7391232]
"[0.2116701304912567, 0.9773411750793457, 0.23893186450004578]",[-0.8832907]
"[0.1618185043334961, 0.9868205189704895, 1.0150065422058105]",[0.28712517]
"[0.05974147468805313, 0.9982138872146606, 2.055121898651123]",[2.0740147]
"[-0.09526734799146652, 0.9954517483711243, 3.1037824153900146]",[3.3046622]
"[-0.29831865429878235, 0.9544663429260254, 4.150371074676514]",[4.026959]
"[-0.5322377681732178, 0.8465949296951294, 5.166220664978027]",[4.6949034]
"[-0.7619378566741943, 0.6476501226425171, 6.10116720199585]",[5.2231154]
"[-0.9358435869216919, 0.35241562128067017, 6.886904716491699]",[5.512751]
"[-0.9999229907989502, -0.012409409508109093, 7.451216220855713]",[5.200723]
"[-0.9212535619735718, -0.3889625370502472, 7.741909503936768]",[3.6800542]
"[-0.7086305022239685, -0.7055797576904297, 7.674715518951416]",[1.496854]
"[-0.42290839552879333, -0.9061724543571472, 7.0180583000183105]",[-0.8498172]
