observation,action
"[-0.0010392352705821395, -0.03809664398431778, -0.03221427649259567, 0.03242546319961548]","[1.0, 0.0]"
"[-0.001801168080419302, -0.23274217545986176, -0.03156576678156853, 0.31477290391921997]","[0.0, 1.0]"
"[-0.006456011440604925, -0.03718512877821922, -0.025270311161875725, 0.012304674834012985]","[0.0, 1.0]"
"[-0.007199713960289955, 0.15828995406627655, -0.02502421662211418, -0.28824299573898315]","[1.0, 0.0]"
"[-0.0040339152328670025, -0.03646637499332428, -0.030789077281951904, -0.003556332550942898]","[0.0, 1.0]"
"[-0.0047632427886128426, 0.159083291888237, -0.030860204249620438, -0.3057923913002014]","[0.0, 1.0]"
"[-0.0015815767692402005, 0.35463109612464905, -0.03697605058550835, -0.6080458760261536]","[1.0, 0.0]"
"[0.005511045455932617, 0.1600450873374939, -0.049136970192193985, -0.3272348642349243]","[0.0, 1.0]"
"[0.00871194712817669, 0.3558309078216553, -0.05568166449666023, -0.6349995732307434]","[1.0, 0.0]"
"[0.015828564763069153, 0.16152800619602203, -0.0683816596865654, -0.3603588938713074]","[1.0, 0.0]"
"[0.01905912533402443, -0.032558657228946686, -0.07558883726596832, -0.08999783545732498]","[0.0, 1.0]"
"[0.018407952040433884, 0.16356079280376434, -0.07738879323005676, -0.405538946390152]","[1.0, 0.0]"
"[0.021679168567061424, -0.03038330189883709, -0.08549956977367401, -0.13822312653064728]","[1.0, 0.0]"
"[0.021071502938866615, -0.22418321669101715, -0.08826403319835663, 0.1263085901737213]","[0.0, 1.0]"
"[0.016587838530540466, -0.027914954349398613, -0.08573786169290543, -0.19286370277404785]","[1.0, 0.0]"
"[0.016029538586735725, -0.22171244025230408, -0.08959513902664185, 0.0715886652469635]","[1.0, 0.0]"
"[0.011595290154218674, -0.4154433012008667, -0.088163360953331, 0.3347136378288269]","[0.0, 1.0]"
"[0.0032864240929484367, -0.21918444335460663, -0.0814690887928009, 0.015582265332341194]","[1.0, 0.0]"
"[-0.0010972648160532117, -0.41304925084114075, -0.08115744590759277, 0.2814895510673523]","[1.0, 0.0]"
"[-0.009358249604701996, -0.6069254279136658, -0.07552765309810638, 0.5475124716758728]","[1.0, 0.0]"
"[-0.021496757864952087, -0.8009095788002014, -0.06457740068435669, 0.8154751658439636]","[1.0, 0.0]"
"[-0.03751495108008385, -0.995090663433075, -0.048267900943756104, 1.0871671438217163]","[0.0, 1.0]"
"[-0.05741676315665245, -0.7993665337562561, -0.026524558663368225, 0.7797375917434692]","[0.0, 1.0]"
"[-0.07340409606695175, -0.6038901209831238, -0.010929808020591736, 0.4788288176059723]","[1.0, 0.0]"
"[-0.08548189699649811, -0.7988560795783997, -0.0013532310258597136, 0.7680469751358032]","[0.0, 1.0]"
"[-0.10145901888608932, -0.6037155389785767, 0.014007708989083767, 0.4749385714530945]","[0.0, 1.0]"
"[-0.11353332549333572, -0.4087941646575928, 0.02350648120045662, 0.18670333921909332]","[0.0, 1.0]"
"[-0.12170921266078949, -0.21401628851890564, 0.02724054642021656, -0.09847249835729599]","[0.0, 1.0]"
"[-0.12598954141139984, -0.01929512247443199, 0.0252710971981287, -0.38243815302848816]","[1.0, 0.0]"
"[-0.12637543678283691, -0.21476660668849945, 0.017622334882616997, -0.08189563453197479]","[1.0, 0.0]"
"[-0.13067077100276947, -0.4101366698741913, 0.015984421595931053, 0.21629467606544495]","[1.0, 0.0]"
"[-0.13887350261211395, -0.6054834723472595, 0.020310314372181892, 0.5139766335487366]","[0.0, 1.0]"
"[-0.15098316967487335, -0.41065335273742676, 0.030589846894145012, 0.22776255011558533]","[0.0, 1.0]"
"[-0.15919624269008636, -0.2159816026687622, 0.035145100206136703, -0.0551164373755455]","[0.0, 1.0]"
"[-0.1635158807039261, -0.021380743011832237, 0.03404276818037033, -0.3365069329738617]","[1.0, 0.0]"
"[-0.16394348442554474, -0.21697020530700684, 0.0273126307874918, -0.033286094665527344]","[1.0, 0.0]"
"[-0.1682828962802887, -0.4124729633331299, 0.02664691023528576, 0.26788759231567383]","[0.0, 1.0]"
"[-0.17653235793113708, -0.2177412360906601, 0.03200466185808182, -0.01627303846180439]","[1.0, 0.0]"
"[-0.18088717758655548, -0.41330721974372864, 0.03167920187115669, 0.28633344173431396]","[0.0, 1.0]"
"[-0.18915331363677979, -0.21865102648735046, 0.037405870854854584, 0.0038078241050243378]","[1.0, 0.0]"
"[-0.19352634251117706, -0.4142889082431793, 0.03748202696442604, 0.3080541491508484]","[1.0, 0.0]"
"[-0.20181211829185486, -0.60992431640625, 0.04364310950040817, 0.6123182773590088]","[0.0, 1.0]"
"[-0.21401061117649078, -0.41543862223625183, 0.05588947609066963, 0.3336945176124573]","[1.0, 0.0]"
"[-0.22231937944889069, -0.6113096475601196, 0.06256336718797684, 0.6434652805328369]","[1.0, 0.0]"
"[-0.23454557359218597, -0.8072452545166016, 0.0754326730966568, 0.9551752209663391]","[1.0, 0.0]"
"[-0.2506904900074005, -1.0032963752746582, 0.0945361778140068, 1.2705718278884888]","[0.0, 1.0]"
"[-0.27075639367103577, -0.8094998002052307, 0.11994761228561401, 1.0089272260665894]","[0.0, 1.0]"
"[-0.2869463860988617, -0.6161653399467468, 0.14012615382671356, 0.7561893463134766]","[1.0, 0.0]"
"[-0.2992697060108185, -0.8129119277000427, 0.1552499383687973, 1.0894790887832642]","[0.0, 1.0]"
"[-0.31552794575691223, -0.6201391220092773, 0.1770395189523697, 0.8492578864097595]","[0.0, 1.0]"
"[-0.3279307186603546, -0.4278160035610199, 0.1940246820449829, 0.6170605421066284]","[1.0, 0.0]"
"[-0.3364870548248291, -0.6250430941581726, 0.2063658982515335, 0.9640361666679382]","[0.0, 1.0]"
"[-0.0396430641412735, -0.013913541100919247, 0.0068333446979522705, -0.020428013056516647]","[1.0, 0.0]"
"[-0.03992133215069771, -0.2091328203678131, 0.0064247846603393555, 0.27440306544303894]","[1.0, 0.0]"
"[-0.044103991240262985, -0.404345840215683, 0.011912846006453037, 0.5691054463386536]","[0.0, 1.0]"
"[-0.052190907299518585, -0.2093929946422577, 0.023294953629374504, 0.28019917011260986]","[0.0, 1.0]"
"[-0.056378766894340515, -0.014610948041081429, 0.02889893762767315, -0.005046510137617588]","[0.0, 1.0]"
"[-0.056670986115932465, 0.18008488416671753, 0.02879800833761692, -0.2884732186794281]","[0.0, 1.0]"
"[-0.05306928977370262, 0.37478458881378174, 0.0230285432189703, -0.5719362497329712]","[0.0, 1.0]"
"[-0.04557359591126442, 0.5695762038230896, 0.011589818634092808, -0.8572763800621033]","[1.0, 0.0]"
"[-0.034182071685791016, 0.3742982745170593, -0.005555708426982164, -0.5609717965126038]","[1.0, 0.0]"
"[-0.026696108281612396, 0.17925472557544708, -0.016775144264101982, -0.27004438638687134]","[1.0, 0.0]"
"[-0.02311101369559765, -0.015623876824975014, -0.02217603288590908, 0.017300715669989586]","[1.0, 0.0]"
"[-0.023423491045832634, -0.2104208916425705, -0.021830018609762192, 0.3029051721096039]","[0.0, 1.0]"
"[-0.027631908655166626, -0.014994734898209572, -0.015771914273500443, 0.003418268635869026]","[0.0, 1.0]"
"[-0.027931803837418556, 0.18034981191158295, -0.01570354960858822, -0.2941988706588745]","[1.0, 0.0]"
"[-0.024324806407094002, -0.014544770121574402, -0.02158752642571926, -0.00650968449190259]","[0.0, 1.0]"
"[-0.024615703150629997, 0.18088001012802124, -0.021717719733715057, -0.30592480301856995]","[1.0, 0.0]"
