observation,action
"[-0.03541416674852371, 0.014838192611932755, -0.0010722813894972205, -0.042451247572898865]","[1.0, 0.0]"
"[-0.03511740267276764, -0.18026836216449738, -0.0019213063642382622, 0.2498931735754013]","[0.0, 1.0]"
"[-0.03872276842594147, 0.014880970120429993, 0.003076557070016861, -0.043395157903432846]","[1.0, 0.0]"
"[-0.03842514753341675, -0.18028496205806732, 0.002208653837442398, 0.25025686621665955]","[0.0, 1.0]"
"[-0.04203084856271744, 0.014805378392338753, 0.007213790901005268, -0.04172859340906143]","[1.0, 0.0]"
"[-0.041734740138053894, -0.18041926622390747, 0.006379219237715006, 0.2532216012477875]","[0.0, 1.0]"
"[-0.045343127101659775, 0.0146110150963068, 0.011443651281297207, -0.0374424010515213]","[1.0, 0.0]"
"[-0.04505090415477753, -0.18067315220832825, 0.010694803670048714, 0.2588290274143219]","[0.0, 1.0]"
"[-0.04866436868906021, 0.014294497668743134, 0.015871383249759674, -0.03046150505542755]","[1.0, 0.0]"
"[-0.04837847873568535, -0.18105141818523407, 0.015262153930962086, 0.2671864628791809]","[0.0, 1.0]"
"[-0.05199950560927391, 0.013849425129592419, 0.02060588262975216, -0.020643863826990128]","[1.0, 0.0]"
"[-0.05172251909971237, -0.1815618872642517, 0.020193004980683327, 0.2784685790538788]","[0.0, 1.0]"
"[-0.05535375699400902, 0.013266266323626041, 0.025762377306818962, -0.00777773093432188]","[0.0, 1.0]"
"[-0.055088430643081665, 0.20800945162773132, 0.025606822222471237, -0.2922222912311554]","[1.0, 0.0]"
"[-0.05092824250459671, 0.012531936168670654, 0.019762376323342323, 0.008425453677773476]","[0.0, 1.0]"
"[-0.05067760497331619, 0.2073649764060974, 0.01993088610470295, -0.2779572904109955]","[1.0, 0.0]"
"[-0.04653030261397362, 0.01196444220840931, 0.014371740631759167, 0.02094460092484951]","[0.0, 1.0]"
"[-0.04629101604223251, 0.20687736570835114, 0.014790632762014866, -0.26716944575309753]","[1.0, 0.0]"
"[-0.04215346649289131, 0.01154748722910881, 0.009447243064641953, 0.030141614377498627]","[0.0, 1.0]"
"[-0.041922517120838165, 0.20653268694877625, 0.010050076059997082, -0.2595456838607788]","[1.0, 0.0]"
"[-0.037791863083839417, 0.01126872282475233, 0.00485916156321764, 0.036290138959884644]","[0.0, 1.0]"
"[-0.03756649047136307, 0.206320658326149, 0.005584964528679848, -0.2548557221889496]","[1.0, 0.0]"
"[-0.03344007581472397, 0.011119410395622253, 0.0004878500767517835, 0.03958355635404587]","[0.0, 1.0]"
"[-0.03321768715977669, 0.20623436570167542, 0.001279521151445806, -0.2529454231262207]","[1.0, 0.0]"
"[-0.029093001037836075, 0.011094165034592152, -0.0037793871015310287, 0.040140826255083084]","[0.0, 1.0]"
"[-0.028871117159724236, 0.20627011358737946, -0.002976570511236787, -0.2537321448326111]","[1.0, 0.0]"
"[-0.024745715782046318, 0.01119078416377306, -0.008051212877035141, 0.03801044449210167]","[0.0, 1.0]"
"[-0.024521900340914726, 0.20642726123332977, -0.007291004061698914, -0.25720182061195374]","[1.0, 0.0]"
"[-0.020393354818224907, 0.011410155333578587, -0.012435040436685085, 0.03317253664135933]","[0.0, 1.0]"
"[-0.020165150985121727, 0.20670820772647858, -0.011771589517593384, -0.2634076774120331]","[1.0, 0.0]"
"[-0.016030987724661827, 0.011756236664950848, -0.017039744183421135, 0.025539226830005646]","[1.0, 0.0]"
"[-0.015795862302184105, -0.18311725556850433, -0.016528958454728127, 0.3127976059913635]","[0.0, 1.0]"
"[-0.019458208233118057, 0.0122362170368433, -0.010273006744682789, 0.01494811475276947]","[1.0, 0.0]"
"[-0.0192134827375412, -0.18273691833019257, -0.009974044747650623, 0.3043721616268158]","[0.0, 1.0]"
"[-0.022868221625685692, 0.012525750324130058, -0.00388660142198205, 0.008560420013964176]","[1.0, 0.0]"
"[-0.022617707028985023, -0.18254025280475616, -0.0037153931334614754, 0.30001455545425415]","[0.0, 1.0]"
"[-0.02626851201057434, 0.012634464539587498, 0.002284897956997156, 0.006162178236991167]","[1.0, 0.0]"
"[-0.02601582184433937, -0.18252018094062805, 0.002408141503110528, 0.2995651364326477]","[0.0, 1.0]"
"[-0.029666226357221603, 0.012567362748086452, 0.00839944463223219, 0.007642668206244707]","[0.0, 1.0]"
"[-0.02941487915813923, 0.20756785571575165, 0.008552297949790955, -0.28237834572792053]","[1.0, 0.0]"
"[-0.025263521820306778, 0.012324965558946133, 0.002904730848968029, 0.012989623472094536]","[0.0, 1.0]"
"[-0.02501702308654785, 0.20740513503551483, 0.0031645232811570168, -0.2787754237651825]","[1.0, 0.0]"
"[-0.020868919789791107, 0.012238186784088612, -0.0024109850637614727, 0.014903917908668518]","[0.0, 1.0]"
"[-0.020624155178666115, 0.20739462971687317, -0.0021129066590219736, -0.2785387337207794]","[1.0, 0.0]"
"[-0.016476262360811234, 0.012302886694669724, -0.007683681324124336, 0.013477044180035591]","[1.0, 0.0]"
"[-0.016230205073952675, -0.1827080398797989, -0.007414140272885561, 0.30372580885887146]","[0.0, 1.0]"
"[-0.019884366542100906, 0.012518791481852531, -0.0013396241702139378, 0.00871388241648674]","[1.0, 0.0]"
"[-0.01963398978114128, -0.18258392810821533, -0.0011653464753180742, 0.3009738326072693]","[0.0, 1.0]"
"[-0.023285668343305588, 0.012554619461297989, 0.004854130558669567, 0.007923615165054798]","[0.0, 1.0]"
"[-0.023034576326608658, 0.20760661363601685, 0.005012602545320988, -0.28322383761405945]","[1.0, 0.0]"
"[-0.018882444128394127, 0.01241353340446949, -0.000651873997412622, 0.011035820469260216]","[1.0, 0.0]"
"[-0.018634174019098282, -0.1826990693807602, -0.00043115756125189364, 0.3035129904747009]","[0.0, 1.0]"
"[-0.022288154810667038, 0.012429030612111092, 0.0056391023099422455, 0.010694129392504692]","[0.0, 1.0]"
"[-0.02203957363963127, 0.2074696570634842, 0.005852985195815563, -0.28020426630973816]","[1.0, 0.0]"
"[-0.01789018139243126, 0.012264705263078213, 0.0002488996251486242, 0.01431890856474638]","[0.0, 1.0]"
"[-0.017644885927438736, 0.20738308131694794, 0.0005352777661755681, -0.2782854735851288]","[1.0, 0.0]"
"[-0.013497225008904934, 0.012253502383828163, -0.005030431784689426, 0.014566227793693542]","[1.0, 0.0]"
"[-0.013252154923975468, -0.1827959418296814, -0.004739107098430395, 0.3056577444076538]","[0.0, 1.0]"
"[-0.016908073797822, 0.012393217533826828, 0.0013740479480475187, 0.01148400828242302]","[1.0, 0.0]"
"[-0.016660209745168686, -0.18274840712547302, 0.0016037281602621078, 0.30460014939308167]","[0.0, 1.0]"
"[-0.020315177738666534, 0.012350646778941154, 0.007695731241255999, 0.012423429638147354]","[0.0, 1.0]"
"[-0.02006816491484642, 0.2073613852262497, 0.00794419925659895, -0.27782151103019714]","[1.0, 0.0]"
"[-0.015920937061309814, 0.012127012945711613, 0.0023877695202827454, 0.017356395721435547]","[0.0, 1.0]"
"[-0.015678396448493004, 0.20721463859081268, 0.0027348974253982306, -0.2745721936225891]","[1.0, 0.0]"
"[-0.011534104123711586, 0.012053773738443851, -0.0027565467171370983, 0.018972055986523628]","[0.0, 1.0]"
"[-0.011293028481304646, 0.20721514523029327, -0.002377105411142111, -0.27457931637763977]","[1.0, 0.0]"
"[-0.00714872544631362, 0.012127193622291088, -0.007868692278862, 0.017352918162941933]","[1.0, 0.0]"
"[-0.006906181573867798, -0.18288102746009827, -0.0075216335244476795, 0.3075428307056427]","[0.0, 1.0]"
"[-0.010563801974058151, 0.012347283773124218, -0.0013707769103348255, 0.012497300282120705]","[1.0, 0.0]"
"[-0.01031685620546341, -0.1827549785375595, -0.00112083088606596, 0.30474740266799927]","[0.0, 1.0]"
"[-0.013971956446766853, 0.012382924556732178, 0.004974117502570152, 0.011711216531693935]","[0.0, 1.0]"
"[-0.013724297285079956, 0.20743319392204285, 0.005208341870456934, -0.2793981730937958]","[1.0, 0.0]"
"[-0.009575634263455868, 0.012237327173352242, -0.00037962174974381924, 0.014922890812158585]","[1.0, 0.0]"
"[-0.009330887347459793, -0.18287917971611023, -8.116394747048616e-05, 0.30748602747917175]","[0.0, 1.0]"
"[-0.012988471426069736, 0.012243930250406265, 0.006068556569516659, 0.01477749552577734]","[0.0, 1.0]"
"[-0.012743592262268066, 0.2072783261537552, 0.006364106200635433, -0.2759845554828644]","[1.0, 0.0]"
"[-0.008598025888204575, 0.012066159397363663, 0.000844414927996695, 0.018698787316679955]","[0.0, 1.0]"
"[-0.008356702513992786, 0.20717598497867584, 0.0012183906510472298, -0.27371758222579956]","[1.0, 0.0]"
"[-0.004213182721287012, 0.012036675587296486, -0.004255961161106825, 0.019349364563822746]","[1.0, 0.0]"
"[-0.003972449339926243, -0.18302398920059204, -0.003868974046781659, 0.3106864392757416]","[0.0, 1.0]"
"[-0.007632928900420666, 0.01215287670493126, 0.002344755223020911, 0.01678588055074215]","[0.0, 1.0]"
"[-0.0073898714035749435, 0.20724111795425415, 0.0026804727967828512, -0.27515631914138794]","[1.0, 0.0]"
"[-0.003245048923417926, 0.012081030756235123, -0.002822653856128454, 0.018370816484093666]","[1.0, 0.0]"
"[-0.0030034284573048353, -0.1830003261566162, -0.002455237554386258, 0.310161828994751]","[0.0, 1.0]"
"[-0.006663435138761997, 0.01215651910752058, 0.003747998969629407, 0.016705602407455444]","[0.0, 1.0]"
"[-0.006420304533094168, 0.2072245180606842, 0.0040821111761033535, -0.2747924327850342]","[1.0, 0.0]"
"[-0.0022758140694350004, 0.012044564820826054, -0.0014137375401332974, 0.019175197929143906]","[0.0, 1.0]"
"[-0.002034922828897834, 0.207186758518219, -0.0010302335722371936, -0.2739534378051758]","[1.0, 0.0]"
"[0.0021088123321533203, 0.01207952480763197, -0.0065093026496469975, 0.018404366448521614]","[1.0, 0.0]"
"[0.0023504027631133795, -0.18294847011566162, -0.006141215097159147, 0.30902644991874695]","[0.0, 1.0]"
"[-0.0013085665414109826, 0.0122604388743639, 3.931373430532403e-05, 0.014413092285394669]","[1.0, 0.0]"
"[-0.0010633578058332205, -0.1828620731830597, 0.00032757557346485555, 0.30710843205451965]","[0.0, 1.0]"
"[-0.004720599390566349, 0.012255205772817135, 0.006469744257628918, 0.014528823085129261]","[0.0, 1.0]"
"[-0.004475495312362909, 0.20728377997875214, 0.0067603206261992455, -0.2761058211326599]","[1.0, 0.0]"
"[-0.00032981965341605246, 0.012066032737493515, 0.0012382040731608868, 0.018701624125242233]","[0.0, 1.0]"
"[-8.84990076883696e-05, 0.20717020332813263, 0.0016122364904731512, -0.2735903859138489]","[1.0, 0.0]"
"[0.004054904915392399, 0.012025286443531513, -0.003859570948407054, 0.01960061676800251]","[1.0, 0.0]"
"[0.004295410588383675, -0.18304109573364258, -0.0034675586502999067, 0.31106331944465637]","[0.0, 1.0]"
"[0.0006345887668430805, 0.012130079790949821, 0.002753707580268383, 0.01728883758187294]","[0.0, 1.0]"
"[0.0008771903812885284, 0.207212433218956, 0.003099484369158745, -0.2745240032672882]","[1.0, 0.0]"
"[0.005021438933908939, 0.012046393938362598, -0.0023909956216812134, 0.019134903326630592]","[1.0, 0.0]"
"[0.005262366961687803, -0.18304118514060974, -0.0020082974806427956, 0.3110624849796295]","[0.0, 1.0]"
"[0.0016015431610867381, 0.012109319679439068, 0.004212952218949795, 0.017746878787875175]","[0.0, 1.0]"
"[0.0018437295220792294, 0.20717060565948486, 0.004567889962345362, -0.2736038267612457]","[1.0, 0.0]"
"[0.005987141747027636, 0.011983770877122879, -0.0009041870362125337, 0.020516302436590195]","[1.0, 0.0]"
"[0.006226817145943642, -0.18312519788742065, -0.000493861036375165, 0.31291380524635315]","[0.0, 1.0]"
"[0.0025643128901720047, 0.012003781273961067, 0.005764415021985769, 0.020075175911188126]","[0.0, 1.0]"
"[0.002804388524964452, 0.20704258978366852, 0.00616591889411211, -0.2707834541797638]","[1.0, 0.0]"
"[0.006945240311324596, 0.011833199299871922, 0.0007502497173845768, 0.023837842047214508]","[0.0, 1.0]"
"[0.007181904278695583, 0.20694437623023987, 0.0012270065490156412, -0.2686082720756531]","[1.0, 0.0]"
"[0.011320792138576508, 0.011804942972958088, -0.0041451589204370975, 0.024461401626467705]","[1.0, 0.0]"
"[0.011556890793144703, -0.1832573115825653, -0.003655930981040001, 0.31583359837532043]","[0.0, 1.0]"
"[0.007891744375228882, 0.011916517280042171, 0.0026607410982251167, 0.021999968215823174]","[0.0, 1.0]"
"[0.008130074478685856, 0.20700021088123322, 0.0031007404904812574, -0.269842267036438]","[1.0, 0.0]"
"[0.012270078994333744, 0.01183414738625288, -0.0022961050271987915, 0.023817025125026703]","[1.0, 0.0]"
"[0.012506761588156223, -0.18325479328632355, -0.0018197644967585802, 0.3157746195793152]","[0.0, 1.0]"
"[0.008841666392982006, 0.011893024668097496, 0.004495727829635143, 0.022518359124660492]","[0.0, 1.0]"
"[0.0090795261785388, 0.20695021748542786, 0.004946094937622547, -0.26874274015426636]","[1.0, 0.0]"
"[0.01321853045374155, 0.011758028529584408, -0.0004287595220375806, 0.025496112182736397]","[0.0, 1.0]"
"[0.013453691266477108, 0.20688612759113312, 8.116273966152221e-05, -0.2673220634460449]","[1.0, 0.0]"
"[0.017591413110494614, 0.011763016693294048, -0.005265278276056051, 0.025386463850736618]","[1.0, 0.0]"
"[0.01782667450606823, -0.1832830309867859, -0.004757549148052931, 0.31640350818634033]","[0.0, 1.0]"
"[0.01416101399809122, 0.011906360276043415, 0.0015705206897109747, 0.022224007174372673]","[0.0, 1.0]"
"[0.014399141073226929, 0.20700575411319733, 0.002015000907704234, -0.26996299624443054]","[1.0, 0.0]"
"[0.01853925548493862, 0.011855105869472027, -0.003384258830919862, 0.023354798555374146]","[1.0, 0.0]"
