observation,action
"[-0.025540531284559898, 0.2001183085181058, -0.001942933726672118, -0.2560608281577101]","[0.0, 1.0]"
"[-0.02153816511419778, 0.005024151344642236, -0.00706415028982632, 0.036008633087326936]","[1.0, 0.0]"
"[-0.021437682087304937, 0.2002466876904893, -0.0063439776280797815, -0.25889470784538965]","[0.0, 1.0]"
"[-0.017432748333495153, 0.005215875437869333, -0.011521871784987574, 0.03178050672610616]","[1.0, 0.0]"
"[-0.017328430824737766, 0.20050114432997324, -0.010886261650465452, -0.2645153085770268]","[0.0, 1.0]"
"[-0.0133184079381383, 0.005536253171796929, -0.016176567822005987, 0.024714201554316806]","[1.0, 0.0]"
"[-0.013207682874702363, 0.20088640981291256, -0.01568228379091965, -0.2730283981445785]","[0.0, 1.0]"
"[-0.009189954678444112, 0.005991695027668942, -0.021142851753811222, 0.014667323885494299]","[1.0, 0.0]"
"[-0.009070120777890734, 0.20141037993243102, -0.020849505276101337, -0.2846107241535986]","[0.0, 1.0]"
"[-0.005041913179242113, 0.006591902698830615, -0.02654171975917331, 0.0014241675721353708]","[1.0, 0.0]"
"[-0.0049100751252655, -0.18813954492993873, -0.026513236407730602, 0.28561610979033447]","[1.0, 0.0]"
"[-0.008672866023864275, 0.007350304112404699, -0.020800914211923913, -0.015309583165777407]","[0.0, 1.0]"
"[-0.008525859941616181, -0.1874672554440128, -0.021107105875239462, 0.2707385107065846]","[1.0, 0.0]"
"[-0.012275205050496438, 0.007949434071130412, -0.015692335661107767, -0.028526259304931245]","[0.0, 1.0]"
"[-0.01211621636907383, -0.18694400414201637, -0.016262860847206392, 0.25916454711995085]","[1.0, 0.0]"
"[-0.015855096451914158, 0.0084062934199933, -0.011079569904807376, -0.038603220630363644]","[0.0, 1.0]"
"[-0.01568697058351429, -0.18655503855245617, -0.011851634317414648, 0.25056350097202285]","[1.0, 0.0]"
"[-0.019418071354563415, 0.008734133606228961, -0.006840364297974191, -0.04583398350776646]","[0.0, 1.0]"
"[-0.019243388682438835, -0.18628906616763177, -0.00775704396812952, 0.2446829208222182]","[1.0, 0.0]"
"[-0.02296917000579147, 0.008942815319545022, -0.0028633855516851554, -0.050436638928231636]","[0.0, 1.0]"
"[-0.022790313699400568, -0.18613796105812308, -0.0038721183302497884, 0.24134149184018672]","[1.0, 0.0]"
"[-0.02651307292056303, 0.009039087294811649, 0.0009547115065539459, -0.05256028587523487]","[0.0, 1.0]"
"[-0.0263322911746668, -0.18609654028916178, -9.649421095075136e-05, 0.24042370724522555]","[1.0, 0.0]"
"[-0.030054221980450036, 0.00902678922393274, 0.00471197993395376, -0.05228965495977739]","[0.0, 1.0]"
"[-0.02987368619597138, 0.20408086044421686, 0.003666186834758212, -0.3434821967686516]","[0.0, 1.0]"
"[-0.025792068987087045, 0.008906945146895634, -0.0032034571006148206, -0.049645434794216736]","[1.0, 0.0]"
"[-0.025613930084149132, -0.18616892534734517, -0.004196365796499155, 0.24202505475014924]","[1.0, 0.0]"
"[-0.029337308591096036, 0.009012715891467543, 0.0006441352985038298, -0.05197855724886097]","[0.0, 1.0]"
"[-0.029157054273266685, -0.18611846554640474, -0.0003954358464733896, 0.24090752995116377]","[1.0, 0.0]"
"[-0.03287942358419478, 0.009009132178716683, 0.0044227147525498865, -0.05190010188834704]","[0.0, 1.0]"
"[-0.03269924094062045, 0.20406738847088954, 0.0033847127147829457, -0.3431843508690284]","[0.0, 1.0]"
"[-0.028617893171202655, 0.008897448404585673, -0.003478974302597622, -0.049436014070993295]","[1.0, 0.0]"
"[-0.02843994420311094, -0.1861744451739104, -0.004467694584017488, 0.2421472391621053]","[1.0, 0.0]"
"[-0.032163433106589145, 0.009011037828764917, 0.0003752501992246174, -0.051941561214974785]","[0.0, 1.0]"
"[-0.03198321235001385, -0.18611629202907218, -0.0006635810250748783, 0.24085973652045767]","[1.0, 0.0]"
"[-0.03570553819059529, 0.009015132065854026, 0.004153613705334276, -0.052032427985892415]","[0.0, 1.0]"
