observation,action
"[0.030446894466876984, 0.043070994317531586, 0.03923819586634636, 0.011520277708768845]","[0.0, 1.0]"
"[0.031308311969041824, 0.2376088947057724, 0.03946860134601593, -0.26852887868881226]","[0.0, 1.0]"
"[0.03606048971414566, 0.43214601278305054, 0.034098025411367416, -0.5485065579414368]","[1.0, 0.0]"
"[0.0447034128010273, 0.23656205832958221, 0.02312789484858513, -0.2452782839536667]","[0.0, 1.0]"
"[0.04943465441465378, 0.43134617805480957, 0.018222328275442123, -0.5305773019790649]","[1.0, 0.0]"
"[0.05806157737970352, 0.23597270250320435, 0.007610782515257597, -0.23220869898796082]","[1.0, 0.0]"
"[0.06278102844953537, 0.04074282944202423, 0.0029666083864867687, 0.06286517530679703]","[0.0, 1.0]"
"[0.06359588354825974, 0.23582212626934052, 0.00422391202300787, -0.22888028621673584]","[1.0, 0.0]"
"[0.06831233203411102, 0.04064006358385086, -0.0003536938747856766, 0.0651320070028305]","[0.0, 1.0]"
"[0.06912513077259064, 0.23576708137989044, 0.0009489462827332318, -0.22766248881816864]","[1.0, 0.0]"
"[0.07384046912193298, 0.04063158482313156, -0.003604303579777479, 0.06531962007284164]","[0.0, 1.0]"
"[0.07465310394763947, 0.23580501973628998, -0.0022979110945016146, -0.22849830985069275]","[1.0, 0.0]"
"[0.0793692022562027, 0.04071598872542381, -0.006867877207696438, 0.0634588897228241]","[0.0, 1.0]"
"[0.08018352091312408, 0.2359357327222824, -0.0055986992083489895, -0.23138295114040375]","[1.0, 0.0]"
"[0.08490224182605743, 0.04089422523975372, -0.010226358659565449, 0.05952870845794678]","[0.0, 1.0]"
"[0.08572012186050415, 0.23616129159927368, -0.009035784751176834, -0.23636308312416077]","[1.0, 0.0]"
"[0.09044335037469864, 0.04116959869861603, -0.013763045892119408, 0.05345604196190834]","[0.0, 1.0]"
"[0.09126674383878708, 0.23648616671562195, -0.012693924829363823, -0.24353726208209991]","[1.0, 0.0]"
"[0.09599646180868149, 0.041547805070877075, -0.017564671114087105, 0.045114800333976746]","[0.0, 1.0]"
"[0.0968274176120758, 0.2369171679019928, -0.016662374138832092, -0.2530577778816223]","[1.0, 0.0]"
"[0.10156576335430145, 0.04203704744577408, -0.02172352932393551, 0.034323304891586304]","[0.0, 1.0]"
"[0.10240650177001953, 0.23746368288993835, -0.021037064492702484, -0.26513367891311646]","[1.0, 0.0]"
"[0.10715577751398087, 0.042648203670978546, -0.026339737698435783, 0.020840421319007874]","[0.0, 1.0]"
"[0.1080087423324585, 0.23813779652118683, -0.025922929868102074, -0.28003525733947754]","[1.0, 0.0]"
"[0.11277149617671967, 0.043395042419433594, -0.03152363374829292, 0.004360256250947714]","[1.0, 0.0]"
"[0.11363939940929413, -0.15126097202301025, -0.03143642842769623, 0.2869327962398529]","[0.0, 1.0]"
"[0.11061418056488037, 0.044294871389865875, -0.025697773322463036, -0.01549682579934597]","[1.0, 0.0]"
"[0.1115000769495964, -0.15044929087162018, -0.02600771002471447, 0.2689686715602875]","[0.0, 1.0]"
"[0.10849109292030334, 0.04503396898508072, -0.02062833681702614, -0.0318024717271328]","[0.0, 1.0]"
"[0.10939177125692368, 0.2404455691576004, -0.02126438543200493, -0.33092182874679565]","[1.0, 0.0]"
"[0.11420068144798279, 0.04563266411423683, -0.02788282185792923, -0.04501977935433388]","[1.0, 0.0]"
"[0.11511333286762238, -0.1490785926580429, -0.028783217072486877, 0.238737091422081]","[0.0, 1.0]"
"[0.112131766974926, 0.04644247144460678, -0.024008475244045258, -0.062884122133255]","[1.0, 0.0]"
"[0.1130606159567833, -0.14832717180252075, -0.02526615746319294, 0.22212833166122437]","[0.0, 1.0]"
"[0.11009407043457031, 0.04714663326740265, -0.020823592320084572, -0.07841624319553375]","[1.0, 0.0]"
"[0.1110370010137558, -0.147670716047287, -0.022391917183995247, 0.20762471854686737]","[0.0, 1.0]"
"[0.10808359086513519, 0.04776415601372719, -0.018239421769976616, -0.09203676879405975]","[1.0, 0.0]"
"[0.10903887450695038, -0.14709168672561646, -0.02008015662431717, 0.19483627378940582]","[0.0, 1.0]"
"[0.1060970351099968, 0.048311665654182434, -0.016183432191610336, -0.10411281883716583]","[1.0, 0.0]"
"[0.10706327110528946, -0.14657467603683472, -0.01826568879187107, 0.18342068791389465]","[0.0, 1.0]"
"[0.104131780564785, 0.04880381003022194, -0.014597274363040924, -0.1149679645895958]","[1.0, 0.0]"
"[0.1051078513264656, -0.14610597491264343, -0.016896633431315422, 0.17307411134243011]","[0.0, 1.0]"
"[0.10218573361635208, 0.0492536798119545, -0.013435151427984238, -0.12489090859889984]","[1.0, 0.0]"
"[0.10317080467939377, -0.1456732451915741, -0.015932969748973846, 0.16352327167987823]","[0.0, 1.0]"
"[0.10025734454393387, 0.04967312514781952, -0.012662503868341446, -0.1341431885957718]","[1.0, 0.0]"
