observation,action
"[0.016268225386738777, 0.21640771627426147, 0.027011031284928322, -0.2715590000152588]","[0.0, 1.0]"
"[0.020596379414200783, 0.020910952240228653, 0.02157985046505928, 0.029519464820623398]","[1.0, 0.0]"
"[0.02101459912955761, 0.2157168984413147, 0.022170240059494972, -0.2562774419784546]","[0.0, 1.0]"
"[0.02532893605530262, 0.02028554119169712, 0.017044691368937492, 0.04331507533788681]","[1.0, 0.0]"
"[0.02573464810848236, 0.21515898406505585, 0.017910992726683617, -0.24394172430038452]","[0.0, 1.0]"
"[0.030037827789783478, 0.019785841926932335, 0.013032158836722374, 0.05433652549982071]","[1.0, 0.0]"
"[0.030433543026447296, 0.2147185355424881, 0.014118889346718788, -0.23420633375644684]","[0.0, 1.0]"
"[0.03472791612148285, 0.01939772441983223, 0.00943476241081953, 0.0628964975476265]","[1.0, 0.0]"
"[0.03511586785316467, 0.21438314020633698, 0.01069269236177206, -0.22679483890533447]","[0.0, 1.0]"
"[0.039403531700372696, 0.019110022112727165, 0.006156796123832464, 0.06924168765544891]","[1.0, 0.0]"
"[0.039785731583833694, 0.21414317190647125, 0.0075416299514472485, -0.22149239480495453]","[0.0, 1.0]"
"[0.0440685972571373, 0.0189142357558012, 0.003111782018095255, 0.07355989515781403]","[1.0, 0.0]"
"[0.044446881860494614, 0.2139914333820343, 0.004582979716360569, -0.2181396335363388]","[0.0, 1.0]"
"[0.04872670769691467, 0.018804272636771202, 0.00022018715390004218, 0.07598543167114258]","[1.0, 0.0]"
"[0.049102794378995895, 0.21392306685447693, 0.0017398957861587405, -0.21662801504135132]","[0.0, 1.0]"
"[0.05338125675916672, 0.018776286393404007, -0.0025926646776497364, 0.0766032412648201]","[1.0, 0.0]"
"[0.05375678092241287, 0.21393531560897827, -0.0010605998104438186, -0.21689654886722565]","[0.0, 1.0]"
"[0.05803548917174339, 0.018828535452485085, -0.005398530978709459, 0.07545162737369537]","[1.0, 0.0]"
"[0.058412060141563416, 0.21402746438980103, -0.0038894983008503914, -0.21892966330051422]","[0.0, 1.0]"
"[0.06269260495901108, 0.01896132528781891, -0.008268091827630997, 0.0725238248705864]","[1.0, 0.0]"
"[0.0630718320608139, 0.21420082449913025, -0.006817615125328302, -0.22275620698928833]","[0.0, 1.0]"
"[0.06735584884881973, 0.01917698234319687, -0.011272738687694073, 0.067768394947052]","[1.0, 0.0]"
"[0.06773938983678818, 0.21445871889591217, -0.009917370975017548, -0.2284497171640396]","[0.0, 1.0]"
"[0.07202856242656708, 0.019479887560009956, -0.01448636595159769, 0.06108849123120308]","[1.0, 0.0]"
"[0.07241816073656082, 0.21480651199817657, -0.013264595530927181, -0.2361295521259308]","[0.0, 1.0]"
"[0.07671429216861725, 0.01987656205892563, -0.017987186089158058, 0.052339982241392136]","[1.0, 0.0]"
"[0.07711182534694672, 0.21525174379348755, -0.016940386965870857, -0.24596333503723145]","[0.0, 1.0]"
"[0.08141686022281647, 0.020375791937112808, -0.021859653294086456, 0.041328418999910355]","[1.0, 0.0]"
"[0.08182437717914581, -0.17442598938941956, -0.021033085882663727, 0.3270350396633148]","[1.0, 0.0]"
"[0.07833585143089294, 0.020989002659916878, -0.014492384158074856, 0.0277941282838583]","[0.0, 1.0]"
"[0.07875563204288483, -0.17392215132713318, -0.013936501927673817, 0.31586953997612]","[1.0, 0.0]"
"[0.07527719438076019, 0.02139551192522049, -0.007619110867381096, 0.018824303522706032]","[0.0, 1.0]"
"[0.07570510357618332, -0.17361634969711304, -0.007242624647915363, 0.3090935945510864]","[1.0, 0.0]"
"[0.07223277539014816, 0.02160804346203804, -0.0010607526637613773, 0.014135384932160378]","[0.0, 1.0]"
"[0.07266493886709213, -0.17349867522716522, -0.0007780449814163148, 0.3064834475517273]","[1.0, 0.0]"
"[0.0691949650645256, 0.021634351462125778, 0.005351623985916376, 0.01355524268001318]","[0.0, 1.0]"
"[0.06962765008211136, -0.17356394231319427, 0.005622728727757931, 0.3079218566417694]","[1.0, 0.0]"
"[0.06615637242794037, 0.02147744409739971, 0.01178116537630558, 0.01701747626066208]","[0.0, 1.0]"
"[0.06658592075109482, 0.2164284735918045, 0.012121515348553658, -0.2719251811504364]","[0.0, 1.0]"
"[0.07091449201107025, 0.02113567478954792, 0.006683011539280415, 0.024556124582886696]","[1.0, 0.0]"
"[0.07133720070123672, 0.21616114675998688, 0.007174133788794279, -0.26601076126098633]","[0.0, 1.0]"
"[0.07566042244434357, 0.020937547087669373, 0.00185391865670681, 0.02892628125846386]","[1.0, 0.0]"
"[0.07607917487621307, 0.21603286266326904, 0.0024324441328644753, -0.26317113637924194]","[0.0, 1.0]"
"[0.08039983361959457, 0.02087627537548542, -0.0028309784829616547, 0.03027801588177681]","[1.0, 0.0]"
"[0.08081735670566559, 0.21603870391845703, -0.002225418109446764, -0.26329678297042847]","[0.0, 1.0]"
"[0.08513813465833664, 0.02094859443604946, -0.0074913534335792065, 0.028683405369520187]","[1.0, 0.0]"
"[0.08555710315704346, -0.17406512796878815, -0.006917685270309448, 0.31899335980415344]","[1.0, 0.0]"
"[0.0820758044719696, 0.021154658868908882, -0.000537818530574441, 0.02413688786327839]","[0.0, 1.0]"
"[0.08249889314174652, -0.17395956814289093, -5.5080785386962816e-05, 0.3166500926017761]","[1.0, 0.0]"
"[0.0790197029709816, 0.021163159981369972, 0.006277920678257942, 0.02394978143274784]","[0.0, 1.0]"
"[0.07944297045469284, 0.2161945253610611, 0.006756916642189026, -0.26674580574035645]","[0.0, 1.0]"
"[0.08376685529947281, 0.02097678929567337, 0.0014220004668459296, 0.028060633689165115]","[1.0, 0.0]"
"[0.08418639749288559, 0.21607832610607147, 0.0019832132384181023, -0.264173299074173]","[0.0, 1.0]"
"[0.08850795775651932, 0.020928116515278816, -0.0033002528361976147, 0.029134493321180344]","[1.0, 0.0]"
"[0.0889265239238739, -0.1741463541984558, -0.0027175629511475563, 0.3207743167877197]","[1.0, 0.0]"
"[0.08544359356164932, 0.021014194935560226, 0.003697923617437482, 0.02723562903702259]","[0.0, 1.0]"
"[0.0858638808131218, 0.21608291566371918, 0.004242636263370514, -0.26427826285362244]","[0.0, 1.0]"
"[0.09018553793430328, 0.020900670439004898, -0.0010429291287437081, 0.029739800840616226]","[1.0, 0.0]"
"[0.0906035527586937, 0.2160375565290451, -0.0004481331561692059, -0.2632719874382019]","[0.0, 1.0]"
"[0.09492430090904236, 0.020922010764479637, -0.005713573191314936, 0.029269548133015633]","[1.0, 0.0]"
"[0.0953427404165268, -0.1741175353527069, -0.005128182005137205, 0.32014432549476624]","[1.0, 0.0]"
"[0.09186039119958878, 0.021077066659927368, 0.0012747041182592511, 0.025848576799035072]","[0.0, 1.0]"
"[0.09228193014860153, -0.17406314611434937, 0.0017916756914928555, 0.3189334273338318]","[1.0, 0.0]"
"[0.08880066871643066, 0.02103324607014656, 0.008170343935489655, 0.026816055178642273]","[0.0, 1.0]"
"[0.08922133594751358, 0.2160370796918869, 0.00870666466653347, -0.26327788829803467]","[0.0, 1.0]"
"[0.09354207664728165, 0.02079194225370884, 0.0034411074593663216, 0.03213845565915108]","[1.0, 0.0]"
"[0.09395791590213776, 0.2158643752336502, 0.004083876498043537, -0.2594567835330963]","[0.0, 1.0]"
"[0.09827520698308945, 0.020684365183115005, -0.0011052590562030673, 0.03451145440340042]","[1.0, 0.0]"
"[0.09868889302015305, 0.21582214534282684, -0.0004150299937464297, -0.2585199773311615]","[0.0, 1.0]"
"[0.10300533473491669, 0.02070612460374832, -0.005585429724305868, 0.034032002091407776]","[1.0, 0.0]"
"[0.10341945290565491, -0.1743352860212326, -0.004904789850115776, 0.32494744658470154]","[1.0, 0.0]"
"[0.09993275254964828, 0.020856156945228577, 0.0015941591700538993, 0.03072180040180683]","[0.0, 1.0]"
"[0.10034987330436707, 0.2159552127122879, 0.0022085951641201973, -0.2614577114582062]","[0.0, 1.0]"
"[0.10466897487640381, 0.020801803097128868, -0.0030205592047423124, 0.03192099928855896]","[1.0, 0.0]"
"[0.10508501529693604, -0.1742767095565796, -0.0023821392096579075, 0.3236493766307831]","[1.0, 0.0]"
"[0.10159947723150253, 0.02087908796966076, 0.004090848378837109, 0.03021617792546749]","[0.0, 1.0]"
"[0.10201705992221832, 0.2159421294927597, 0.00469517195597291, -0.2611732482910156]","[0.0, 1.0]"
"[0.10633590817451477, 0.02075347676873207, -0.0005282929632812738, 0.03298689424991608]","[1.0, 0.0]"
"[0.1067509725689888, 0.21588300168514252, 0.00013144493277650326, -0.25986266136169434]","[0.0, 1.0]"
"[0.11106863617897034, 0.02075917273759842, -0.005065808538347483, 0.03286171704530716]","[1.0, 0.0]"
"[0.11148381978273392, -0.1742897629737854, -0.0044085741974413395, 0.32394203543663025]","[1.0, 0.0]"
"[0.10799802094697952, 0.020894678309559822, 0.0020702665206044912, 0.029872091487050056]","[0.0, 1.0]"
"[0.10841591656208038, -0.17425690591335297, 0.002667708322405815, 0.3232074975967407]","[1.0, 0.0]"
"[0.10493078082799911, 0.02082696370780468, 0.009131858125329018, 0.031367041170597076]","[0.0, 1.0]"
"[0.10534732043743134, 0.21581678092479706, 0.009759198874235153, -0.25842076539993286]","[0.0, 1.0]"
"[0.10966365039348602, 0.020556868985295296, 0.004590783733874559, 0.037324316799640656]","[1.0, 0.0]"
"[0.11007478833198547, 0.21561269462108612, 0.005337270442396402, -0.25390663743019104]","[0.0, 1.0]"
"[0.11438704282045364, 0.020414937287569046, 0.0002591374795883894, 0.040454965084791183]","[1.0, 0.0]"
"[0.11479534208774567, 0.21553316712379456, 0.0010682367719709873, -0.2521461844444275]","[0.0, 1.0]"
"[0.1191060021519661, 0.020395983010530472, -0.0039746868424117565, 0.040873486548662186]","[1.0, 0.0]"
"[0.11951392889022827, 0.2155746966600418, -0.003157217288389802, -0.25306084752082825]","[0.0, 1.0]"
"[0.12382541596889496, 0.02049797587096691, -0.0082184337079525, 0.03862457722425461]","[1.0, 0.0]"
"[0.1242353767156601, -0.17450515925884247, -0.007445942610502243, 0.32870322465896606]","[1.0, 0.0]"
"[0.12074527889490128, 0.02072199247777462, -0.0008718781755305827, 0.033681511878967285]","[0.0, 1.0]"
"[0.12115971744060516, -0.17438744008541107, -0.00019824794435407966, 0.3260892331600189]","[1.0, 0.0]"
"[0.11767196655273438, 0.02073732763528824, 0.006323536392301321, 0.033343784511089325]","[0.0, 1.0]"
"[0.11808671057224274, 0.2157680243253708, 0.006990412250161171, -0.2573373019695282]","[0.0, 1.0]"
"[0.12240207195281982, 0.02054697833955288, 0.0018436660757288337, 0.037542276084423065]","[1.0, 0.0]"
"[0.12281301617622375, 0.21564243733882904, 0.0025945117231458426, -0.25455838441848755]","[0.0, 1.0]"
"[0.12712585926055908, 0.02048354223370552, -0.0024966560304164886, 0.03894176706671715]","[1.0, 0.0]"
"[0.12753553688526154, 0.21564120054244995, -0.0017178207635879517, -0.25452783703804016]","[0.0, 1.0]"
"[0.13184835016727448, 0.02054382488131523, -0.0068083773367106915, 0.03761276602745056]","[1.0, 0.0]"
"[0.13225923478603363, -0.17447984218597412, -0.00605612201616168, 0.3281398415565491]","[1.0, 0.0]"
"[0.1287696361541748, 0.02072780765593052, 0.0005066744633950293, 0.03355324640870094]","[0.0, 1.0]"
